Name	Race	Class	Minion	Spell	Weapon	Rarity	Mana	Attack	Health	Spell Power	Enrage	Special	Battlecry	Taunt	Deathrattle	Windfury	Charge	Divine Shield	Summoned	Stealth	Effect
Abomination			1	0	0	R	5	4	4	0	0	0	0	1	1	0	0	0	0	0	Deal 2 damage to ALL characters.
Abusive Sergent			1	0	0	C	1	2	1	0	0	0	1	0	0	0	0	0	0	0	Give a minion +2 Attack this turn.
Acidic Swamp Ooze			1	0	0	B	2	3	2	0	0	0	1	0	0	0	0	0	0	0	Destroy your opponent's weapon.
Acolyte of Pain			1	0	0	C	3	1	3	0	0	1	0	0	0	0	0	0	0	0	"Whenever this minion takes damage, draw a card."
Al'Akir the Windlord		Shaman	1	0	0	L	8	3	5	0	0	0	0	1	1	1	1	1	0	0	
Alarm-o-Bot			1	0	0	R	3	0	3	0	0	1	0	0	0	0	0	0	0	0	"At the start of your turn, swap this minion with a random one in your hand."
Aldor Peacekeeper		Shaman	1	0	0	R	3	3	3	0	0	0	1	0	0	0	0	0	0	0	Change an enemy minion's Attack to 1.
Alexstraza	Dragon		1	0	0	L	9	8	8	0	0	0	1	0	0	0	0	0	0	0	Set a hero's remaining Health to 15.
Amani Berserker			1	0	0	C	2	2	3	0	1	0	0	0	0	0	0	0	0	0	+3 Attack.
Ancestral Healing		Shaman	0	1	0	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Restore a minion to full Health and give it Taunt.
Ancestral Spirit		Shaman	0	1	0	R	2	0	0	0	0	0	0	0	0	0	0	0	0	0	"Choose a minion. When that minion is destroyed, return it to the battlefield."
Ancient Brewmaster			1	0	0	C	4	5	4	0	0	0	1	0	0	0	0	0	0	0	Return a friendly minion from the battlefield to your hand.
Ancient Mage			1	0	0	R	4	2	5	0-2	0	0	1	0	0	0	0	0	0	0	Give adjacent minions Spell Damage +1.
Ancient of Lore		Druid	1	0	0	E	7	5	5	0	0	1	0	0	0	0	0	0	0	0	Choose One - Draw 2 cards; or Restore 5 health.
Ancient of War		Druid	1	0	0	E	7	5	5	0	0	1	0	0	0	0	0	0	0	0	Choose One - +5 Attack; or +5 Health and Taunt.
Ancient Watcher			1	0	0	R	2	4	5	0	0	0	0	0	0	0	0	0	0	0	Can't Attack.
Angry Chicken	Beast		1	0	0	R	1	1	1	0	1	0	0	0	0	0	0	0	0	0	+5 Attack.
Animal Companion		Hunter	0	1	0	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Summon a random Beast Companion.
Arathi Weaponsmith		Warrior	1	0	0	C	4	3	3	0	0	0	1	0	0	0	0	0	0	0	Equip a 2/2 weapon.
Arcane Explosion		Mage	0	1	0	B	2	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 1 damage to all enemy minions.
Arcane Golem			1	0	0	R	3	4	2	0	0	0	1	0	0	0	1	0	0	0	Give your opponent a Mana Crystal.
Arcane Intellect		Mage	0	1	0	B	3	0	0	0	0	0	0	0	0	0	0	0	0	0	Draw 2 cards.
Arcane Missles		Mage	0	1	0	B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 3 damage randomly split among enemy characters.
Arcane Shot		Hunter	0	1	0	B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 2 damage.
Arcanite Reaper		Warrior	0	0	1	B	5	5	2	0	0	0	0	0	0	0	0	0	0	0	
Archmage			1	0	0	B	6	4	7	1	0	0	0	0	0	0	0	0	0	0	
Archmage Antonidas		Mage	1	0	0	L	7	5	7	0	0	1	0	0	0	0	0	0	0	0	"Whenever you cast a spell, put a 'Fireball' spell into your hand."
Argent Commander			1	0	0	R	6	4	2	0	0	0	0	0	0	0	1	1	0	0	
Argent Protector		Paladin	1	0	0	C	2	2	2	0	0	0	1	0	0	0	0	0	0	0	Give a friendly minion Divine Shield.
Argent Squire			1	0	0	C	1	1	1	0	0	0	0	0	0	0	0	1	0	0	
Armorsmith		Warrior	1	0	0	R	2	1	4	0	0	1	0	0	0	0	0	0	0	0	"Whenever a friendly minion takes damage, gain 1 Armor."
Ashbringer			0	0	1		0	5	3	0	0	0	0	0	0	0	0	0	1	0	
Assassinate		Rogue	0	1	0	B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Destroy an enemy minion.
Assassin's Blade		Rogue	0	0	1	B	5	3	4	0	0	0	0	0	0	0	0	0	0	0	
Auchenai Soulpriest		Priest	1	0	0	R	4	3	5	0	0	1	0	0	0	0	0	0	0	0	Your cards and powers that restore Health now deal damage instead.
Avenging Wrath		Paladin	0	1	0	E	6	0	0	0	0	0	0	0	0	0	0	0	0	0	Deal 8 damage randomly split among enemy characters.
Azure Drake	Dragon		1	0	0	R	5	4	4	1	0	0	1	0	0	0	0	0	0	0	Draw a card.
